	id	sentence1	sentence2	similarity
48	49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	3.375
49	50	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	3.25
50	51	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	3.625
51	52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	4.875
52	53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	3.75
53	54	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	3.625
54	55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	4.25
55	56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	3.5
56	57	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	3.8749999999999996
57	58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	3.125
58	59	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	3.625
59	60	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	2.625
60	61	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	3.625
61	62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	3.75
62	63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	4.25
63	64	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	3.5
64	65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	2.375
65	66	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	4.75
66	67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	3.8749999999999996
67	68	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	4.5
68	69	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	3.25
69	70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	3.8749999999999996
70	71	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	2.875
71	72	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	1.875
72	73	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	4.0
73	74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	4.625
74	75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	3.5
75	76	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	2.375
76	77	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	4.25
77	78	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	2.75
78	79	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	3.2937499999999997
79	80	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume	0.37500000000000006
80	81	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	1.75
81	82	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	2.0
82	83	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	1.5000000000000002
83	84	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	2.5
84	85	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	1.25
85	86	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	2.0
86	87	A lone biker is jumping in the air	A biker is jumping in the air, alone	5.0
87	88	There is no biker jumping in the air	A lone biker is jumping in the air	4.0
88	89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	4.75
89	90	A man is jumping into an empty pool	A man is jumping into a full pool	2.5
90	91	A man is jumping into an empty pool	The man's jumper is in the empty pool	2.625
91	92	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	0.7500000000000001
92	93	A lone biker is jumping in the air	A man is jumping into a full pool	0.875
93	94	The man's jumper is in the empty pool	A lone biker is jumping in the air	0.4999999999999999
94	95	A man is jumping into an empty pool	A biker is jumping in the air, alone	0.7500000000000001
95	96	A man is jumping into an empty pool	There is no biker jumping in the air	0.24999999999999994
96	97	A lone biker is jumping in the air	A man is jumping into an empty pool	0.625
97	98	Four kids are doing backbends in the park	Four children are doing backbends in the park	4.75
98	99	Four children are doing backbends in the gym	Four children are doing backbends in the park	3.5
99	100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	3.8749999999999996
100	101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	3.75
101	102	Four girls are doing backbends and playing in the garden	Four children are doing backbends in the park	3.375
102	103	Four girls are doing backbends and playing indoors	Four children are doing backbends in the park	3.375
103	104	Four kids are doing backbends in the park	Four girls are doing backbends and playing outdoors	4.125
104	105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	3.5
105	106	Four girls are doing backbends and playing outdoors	Four children are doing backbends in the park	3.8749999999999996
106	107	A man who is playing is running with the ball in his hands	A player is running with the ball	4.125
107	108	A player is throwing the ball	A player is running with the ball	3.125
108	109	Two groups of people are playing football	Two teams are competing in a football match	4.625
109	110	Two teams are competing in a football match	Two teams are competing in a baseball game	3.625
110	111	Two teams are competing in a football match	Football is being played by two competing teams	4.75
111	112	Two groups of people are playing football	A player is running with the ball	1.375
112	113	Two teams are competing in a baseball game	A player is running with the ball	2.5
113	114	A player is running with the ball	Football is being played by two competing teams	2.5
114	115	Two teams are competing in a football match	A man who is playing is running with the ball in his hands	2.125
115	116	A player is throwing the ball	Two teams are competing in a football match	2.375
116	117	A player is running with the ball	Two teams are competing in a football match	2.0
117	118	Five children are standing in front of a wooden hut	Five children are standing in front of a hut made of wood	4.75
118	119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	4.0
119	120	Five wooden stands are in front of each child's hut	Five children are standing in front of a wooden hut	2.75
120	121	Five kids are standing close together and one kid has a gun	Five kids are standing close together and one kid has a weapon	4.75
121	122	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	3.375
122	123	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a weapon	2.25
123	124	Five kids are standing close together and none of the kids has a gun	Five children are standing in front of a wooden hut	2.0
124	125	Five children are standing in front of a hut made of wood	Five kids are standing close together and one kid has a gun	2.5
125	126	Five children are standing in a wooden hut	Five kids are standing close together and one kid has a gun	2.125
126	127	Five wooden stands are in front of each child's hut	Five kids are standing close together and one kid has a gun	1.6249999999999998
127	128	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a gun	1.6249999999999998
128	129	An old man is sitting in a field	A man is sitting in a field	4.25
129	130	A man is sitting in a field	A man is running in a field	2.0
130	131	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat	3.8749999999999996
131	132	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	2.875
132	133	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass	3.0
133	134	A person is sitting in a field and is wearing a hat	A man is sitting in a field	3.75
134	135	A man is sitting in a field	There is no person wearing a hat and sitting on the grass	2.125
135	136	A person is sitting and wearing a grass hat	A man is sitting in a field	2.875
136	137	An old man is sitting in a field	A person is wearing a hat and is sitting on the grass	2.25
137	138	A person is wearing a hat and is sitting on the grass	A man is running in a field	0.4999999999999999
138	139	A man is sitting in a field	A person is wearing a hat and is sitting on the grass	3.5
139	140	The current is being ridden by a group of friends in a raft	A group of friends are riding the current in a raft	4.875
140	141	A group of friends are riding the current in a raft	A group is not riding the current in a raft	3.375
141	142	This group of people is practicing water safety and wearing preservers	Preservers are being worn by a group of people who are practicing water safety	4.875
142	143	Nobody is practicing water safety and wearing preservers	This group of people is practicing water safety and wearing preservers	3.0
143	144	A group of friends are riding the current in a raft	Preservers are being worn by a group of people who are practicing water safety	2.375
144	145	Nobody is practicing water safety and wearing preservers	A group of friends are riding the current in a raft	1.5000000000000002
145	146	The current is being ridden by a group of friends in a raft	This group of people is practicing water safety and wearing preservers	2.75
146	147	A group is not riding the current in a raft	This group of people is practicing water safety and wearing preservers	2.25
147	148	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers	2.625
148	149	A deer is jumping over a fence	A deer is jumping over the enclosure	4.41875
149	150	A deer is jumping over a fence	A deer isn't jumping over the fence	3.625
150	151	A wild deer is jumping a fence	A deer is jumping a fence	4.75
151	152	A deer is jumping a fence	There is no deer jumping fences	3.8749999999999996
152	153	A wild deer is jumping a fence	A deer is jumping over a fence	4.375
153	154	There is no deer jumping fences	A deer is jumping over a fence	2.10625
154	155	A deer is jumping over the enclosure	A deer is jumping a fence	4.0
155	156	A deer is jumping a fence	A deer isn't jumping over the fence	3.1875
156	157	A deer is jumping over a fence	A deer is jumping a fence	4.875
157	158	People are walking outside a building that has many murals on it	People are walking outside the building that has several murals on it	4.625
158	159	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	3.0
159	160	Several people are in front of a building which is covered by colors	Several people are in front of a colorful building	4.625
160	161	Several people are in front of a colorful building	Nobody is in front of the colorful building	3.125
161	162	Several people are in front of a building which is covered by colors	People are walking outside a building that has many murals on it	3.5
162	163	People are walking outside a building that has many murals on it	Nobody is in front of the colorful building	3.25
163	164	People are walking outside the building that has several murals on it	Several people are in front of a colorful building	3.25
164	165	Several people are in front of a colorful building	People are walking inside a building that has many murals on it	3.0
165	166	People are walking outside a building that has many murals on it	Several people are in front of a colorful building	3.375
166	167	A boy is hitting a baseball	A child is hitting a baseball	4.25
167	168	A child is hitting a baseball	A child is missing a baseball	3.5
168	169	A family is watching a little boy who is hitting a baseball	A family is watching a boy who is hitting a baseball	4.5
169	170	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	3.625
170	171	A little boy is watching a family that is hitting a baseball	A family is watching a little boy who is hitting a baseball	3.375
171	172	A family is watching a boy who is hitting a baseball	A child is hitting a baseball	3.375
172	173	A child is hitting a baseball	A family is watching a little boy who is missing a baseball	2.5187500000000003
173	174	A little boy is watching a family that is hitting a baseball	A child is hitting a baseball	3.375
174	175	A family is watching a little boy who is hitting a baseball	A boy is hitting a baseball	4.0
175	176	A child is missing a baseball	A family is watching a little boy who is hitting a baseball	2.125
176	177	A family is watching a little boy who is hitting a baseball	A child is hitting a baseball	3.8749999999999996
177	178	A large group of Asian people is eating at a restaurant	A group of people from Asia is eating at a restaurant	4.75
178	179	A large group of Asian people is eating at a restaurant	A small group of people is waiting to eat in a restaurant	3.0
179	180	A large group of Asian people is eating at a restaurant	A group of people in a large Asian restaurant is eating	3.125
180	181	Various people are eating at red tables in a crowded restaurant with purple lights	Various customers are eating in a crowded restaurant with purple lights	4.5
181	182	Few people are eating at red tables in a restaurant without lights	Various people are eating at red tables in a crowded restaurant with purple lights	2.75
182	183	A purple crowd of people is eating on various red lit restaurant tables	Various people are eating at red tables in a crowded restaurant with purple lights	2.875
183	184	A large group of Asian people is eating at a restaurant	Various customers are eating in a crowded restaurant with purple lights	2.375
184	185	Few people are eating at red tables in a restaurant without lights	A large group of Asian people is eating at a restaurant	2.0
185	186	A purple crowd of people is eating on various red lit restaurant tables	A large group of Asian people is eating at a restaurant	2.625
186	187	A group of people from Asia is eating at a restaurant	Various people are eating at red tables in a crowded restaurant with purple lights	2.5
187	188	Various people are eating at red tables in a crowded restaurant with purple lights	A small group of people is waiting to eat in a restaurant	2.75
188	189	A group of people in a large Asian restaurant is eating	Various people are eating at red tables in a crowded restaurant with purple lights	2.875
189	190	A large group of Asian people is eating at a restaurant	Various people are eating at red tables in a crowded restaurant with purple lights	2.875
190	191	A motorcycle rider is standing up on the seat of a white motorcycle	A motorcycle is riding standing up on the seat of the vehicle	3.8749999999999996
191	192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	3.5
192	193	Someone is on a black and white motorcycle and is standing on the seat	A rider is on a black and white bike and is standing on the seat	4.5
193	194	Nobody is on a motorcycle and is standing on the seat	Someone is on a black and white motorcycle and is standing on the seat	3.375
194	195	A rider is on a black and white bike and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	3.25
195	196	Nobody is on a motorcycle and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	3.25
196	197	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle is riding standing up on the seat of the vehicle	2.70625
197	198	Someone is on a black and white motorcycle and is standing on the seat	No motorcycle rider is standing up on the seat of a motorcycle	3.25
198	199	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle rider is standing up on the seat of a white motorcycle	3.375
199	200	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	4.5
200	201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	3.375
201	202	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist with a red helmet is riding a blue motorcycle down the road	4.75
202	203	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	3.375
203	204	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	3.75
204	205	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	A motorcyclist is riding a motorbike along a roadway	2.875
205	206	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike dangerously along a roadway	3.5
206	207	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist with a red helmet is riding a blue motorcycle down the road	2.875
207	208	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	4.375
208	209	A dog is catching a stick in the air and another is watching	A dog is leaping high in the air and another is watching	4.0
209	210	There is no dog leaping in the air	A dog is leaping high in the air and another is watching	2.875
210	211	Two dogs are playing by a tree	Two dogs are playing by a plant	4.5
211	212	Two dogs are playing by a tree	Two dogs are sleeping by a tree	3.20625
212	213	A dog is leaping high in the air and another is watching	Two dogs are playing by a plant	2.25
213	214	A dog is leaping high in the air and another is watching	Two dogs are sleeping by a tree	2.0
214	215	Two dogs are playing by a tree	A dog is catching a stick in the air and another is watching	3.375
215	216	Two dogs are playing by a tree	There is no dog leaping in the air	2.125
216	217	Two dogs are playing by a tree	A dog is leaping high in the air and another is watching	2.5
217	218	A girl in white is dancing	A girl is wearing white clothes and is dancing	4.875
218	219	There is no girl in white dancing	A girl in white is dancing	4.0
219	220	The dancer is dancing in front of the sound equipment	The blond girl is dancing in front of the sound equipment	4.25
220	221	The blond girl is dancing behind the sound equipment	The blond girl is dancing in front of the sound equipment	3.625
221	222	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	3.625
222	223	A girl in white is dancing	The dancer is dancing in front of the sound equipment	3.75
223	224	A girl in white is dancing	The blond girl is dancing behind the sound equipment	2.875
224	225	The equipment in front of the blond dancing girl is sound	A girl in white is dancing	2.125
225	226	A girl is wearing white clothes and is dancing	The blond girl is dancing in front of the sound equipment	3.125
226	227	The blond girl is dancing in front of the sound equipment	There is no girl in white dancing	2.875
227	228	A girl in white is dancing	The blond girl is dancing in front of the sound equipment	2.875
228	229	The children of a family are patiently playing and waiting	The children of a family are playing and waiting	4.375
229	230	The children of a family are playing and waiting	There are no children playing and waiting	2.625
230	231	Three Asian kids are dancing and a serious man is looking	Three Asian kids are dancing and a man is looking	4.375
231	232	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	3.625
232	233	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	3.375
233	234	The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking	1.125
234	235	The children of a family are playing and waiting	Three Asian kids are dancing and there is no man looking	2.125
235	236	The children of a family are playing and waiting	An Asian man is dancing and three kids are looking	1.125
236	237	The children of a family are patiently playing and waiting	Three Asian kids are dancing and a man is looking	1.6249999999999998
237	238	There are no children playing and waiting	Three Asian kids are dancing and a man is looking	0.7500000000000001
238	239	Three Asian kids are dancing and a man is looking	The children of a family are playing and waiting	1.6249999999999998
239	240	A woman is wearing an Egyptian hat on her head	A woman is wearing an Egyptian headdress	4.125
240	241	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	3.75
241	242	A woman is wearing an Egyptian headdress	An Egyptian is wearing a woman's headdress	3.625
242	243	The woman is wearing glasses and a black headdress	The woman with a black hat is wearing sunglasses	3.625
243	244	The woman is not wearing glasses or a headdress	The woman is wearing glasses and a black headdress	3.625
244	245	The black woman is wearing glasses over the headdress	The woman is wearing glasses and a black headdress	3.375
245	246	A woman is wearing an Egyptian headdress	The woman with a black hat is wearing sunglasses	1.6249999999999998
246	247	The woman is not wearing glasses or a headdress	A woman is wearing an Egyptian headdress	3.25
247	248	The black woman is wearing glasses over the headdress	A woman is wearing an Egyptian headdress	3.25
248	249	A woman is wearing an Egyptian hat on her head	The woman is wearing glasses and a black headdress	1.875
249	250	A woman is wearing an Indian headdress	The woman is wearing glasses and a black headdress	2.5
250	251	The woman is wearing glasses and a black headdress	An Egyptian is wearing a woman's headdress	2.625
251	252	The woman is wearing glasses and a black headdress	A woman is wearing an Egyptian headdress	3.5
252	253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	4.625
253	254	A hiker is on top of the mountain and is dancing	There is no hiker dancing on top of the mountain	2.75
254	255	A man is on a rock high above some trees and is standing in an uncomfortable position	A man is on a rock high above some trees and is standing in a strange position	4.0
255	256	There is no man on a rock high above some trees standing in a strange position	A man is on a rock high above some trees and is standing in a strange position	4.125
256	257	A hiker is on top of the mountain and is dancing	A man is on a rock high above some trees and is standing in an uncomfortable position	1.875
257	258	A hiker is on top of the mountain and is dancing	There is no man on a rock high above some trees standing in a strange position	1.875
258	259	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance	2.375
259	260	There is no hiker dancing on top of the mountain	A man is on a rock high above some trees and is standing in a strange position	1.75
260	261	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is dancing	2.75
261	262	A cowgirl is riding a brown horse and is cornering a barrel	A cowgirl is riding a horse and corners a barrel	4.625
262	263	A cowboy is riding a horse and cornering a barrel	A cowgirl is riding a horse and corners a barrel	3.8749999999999996
263	264	A cowgirl is riding a barrel near a horse in the corner	A cowgirl is riding a horse and corners a barrel	2.25
264	265	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	4.75
265	266	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo	3.25
266	267	The brown horse is very near a red barrel at the rodeo	A cowgirl is riding a horse and corners a barrel	2.375
267	268	The brown horse is far from a red barrel at the rodeo	A cowgirl is riding a horse and corners a barrel	1.875
268	269	A cowgirl is riding a brown horse and is cornering a barrel	The brown horse is near a red barrel at the rodeo	2.75
269	270	A cowboy is riding a horse and cornering a barrel	The brown horse is near a red barrel at the rodeo	3.375
270	271	The brown horse is near a red barrel at the rodeo	A cowgirl is riding a barrel near a horse in the corner	2.625
271	272	A cowgirl is riding a horse and corners a barrel	The brown horse is near a red barrel at the rodeo	3.5
272	273	A boy is standing in the cold water	A boy is standing in the water	3.8749999999999996
273	274	A boy is standing outside the water	A boy is standing in the water	3.25
274	275	The kid is swimming through the blue ocean	The boy is wading through the blue ocean	4.0
275	276	The boy is sitting near the blue ocean	The boy is wading through the blue ocean	2.75
276	277	A boy is standing in the water	The kid is swimming through the blue ocean	2.5
277	278	A boy is standing in the water	The boy is sitting near the blue ocean	2.25
278	279	The boy is wading through the blue ocean	A boy is standing in the cold water	2.875
279	280	A boy is standing outside the water	The boy is wading through the blue ocean	2.6687499999999997
280	281	A boy is standing in the water	The boy is wading through the blue ocean	3.75
281	282	A skilled man is playing a guitar on stage	A man is playing a guitar on stage	4.5
282	283	A man is playing a guitar on stage	There is no man playing a guitar on stage	3.25
283	284	A person has blonde and flyaway hair and is playing a guitar	A guitarist has blonde and flyaway hair	4.625
284	285	A bald person is playing a guitar	A person has blonde and flyaway hair and is playing a guitar	3.625
285	286	A man is playing a guitar on stage	A guitarist has blonde and flyaway hair	2.5
286	287	A man is playing a guitar on stage	A bald person is playing a guitar	3.5
287	288	A skilled man is playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	3.5
288	289	There is no man playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	3.0
289	290	A man is playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	2.5
290	291	Several children are sitting down and have their knees raised	Several children are lying down and are raising their knees	3.75
291	292	Several children are sitting down and have their knees raised	Several children are standing up	2.85625
292	293	Two young girls are sitting on the ground	Two girls are sitting on the ground	4.25
293	294	Two girls are lying on the ground	Two girls are sitting on the ground	3.5
294	295	Two young girls are sitting on the ground	Several children are sitting down and have their knees raised	2.375
295	296	Two girls are lying on the ground	Several children are sitting down and have their knees raised	2.25
296	297	Several children are lying down and are raising their knees	Two girls are sitting on the ground	1.6249999999999998
297	298	Several children are standing up	Two girls are sitting on the ground	1.0
298	299	Several children are sitting down and have their knees raised	Two girls are sitting on the ground	2.75
299	300	A nude lady is walking in front of many people in body paint	A nude lady is walking in front of a crowd in body paint	4.625
300	301	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 	2.375
301	302	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	2.625
302	303	A young, topless woman is covered in paint	A topless girl is covered in paint	4.25
303	304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	3.5
304	305	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	3.5
305	306	An old, topless woman is covered in paint	A nude lady is walking in front of a crowd in body paint	2.625
306	307	A young, topless woman is covered in paint	A nude lady is walking in front of many people in body paint	3.125
307	308	There is no lady walking in body paint in front of a crowd 	A young, topless woman is covered in paint	2.75
308	309	A nude crowd in body paint is walking in front of a lady 	A young, topless woman is covered in paint	2.5
309	310	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint	4.0
310	311	A group of people is near the ocean	A crowd of people is near the water	4.125
311	312	A crowd of people is near the water	A crowd of people is far from the water	3.5
312	313	A group of children in uniforms is standing at a gate and one is kissing the mother	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	4.375
313	314	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A group of children in uniforms is standing at a gate and one is kissing the mother	3.5
314	315	A group of mothers in uniforms is standing near the children and one is kissing the gate	A group of children in uniforms is standing at a gate and one is kissing the mother	2.875
315	316	A crowd of people is near the water	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	0.7500000000000001
316	317	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A crowd of people is near the water	0.37500000000000006
317	318	A group of mothers in uniforms is standing near the children and one is kissing the gate	A crowd of people is near the water	0.875
318	319	A group of people is near the ocean	A group of children in uniforms is standing at a gate and one is kissing the mother	1.0
319	320	A crowd of people is far from the water	A group of children in uniforms is standing at a gate and one is kissing the mother	0.0
320	321	A crowd of people is near the water	A group of children in uniforms is standing at a gate and one is kissing the mother	1.125
321	322	A man is in a parking lot and is playing tennis against a large wall	A lone man is in a parking lot and is playing tennis against a large wall	4.625
322	323	A man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a friend	3.625
